Parent,PC2,PC1,Cluster,Experiment,n_frames,DoseLabel
1000000000,0.259648,-4.014725,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,27.0,Neg
1000000001,-3.52894,0.09456894,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000002,-0.9930269,-0.7660039,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,41.0,High
1000000003,-5.6667128,0.36032438,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,39.0,High
1000000004,-4.4155183,1.8189934,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,High
1000000005,1.0512465,-1.1972421,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,17.0,Pos
1000000006,1.0815786,4.7462015,2,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,16.0,Pos
1000000008,-1.810868,-1.508896,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,32.0,High
1000000009,-0.4196248,-3.7481253,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000010,0.19946942,-1.0683625,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,14.0,Pos
1000000011,-0.9349639,-3.2918034,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,37.0,Neg
1000000012,-3.6699748,2.0544286,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,38.0,Pos
1000000013,-5.2566485,2.439813,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,43.0,High
1000000014,-2.8148215,-0.58277136,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,30.0,Pos
1000000015,-1.6236112,-1.9630487,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000016,2.2012858,-1.6930182,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,12.0,Pos
1000000017,-2.98794,-1.361379,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000018,0.61980593,-1.6404668,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,9.0,Pos
1000000019,-4.1160808,0.0051389737,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Pos
1000000020,1.7798227,1.1465384,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,10.0,Neg
1000000021,-4.6691327,1.2212034,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000022,0.8654212,-2.0797951,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,18.0,Pos
1000000023,0.73062164,-4.1843195,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000024,-0.1410343,-2.8707972,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000025,-4.211439,0.26837543,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,43.0,High
1000000026,2.2615435,-1.2706904,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,11.0,Pos
1000000027,-0.46150893,-0.98372537,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,18.0,Pos
1000000028,1.1193486,-3.95417,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,27.0,Neg
1000000029,0.38480595,-0.49975878,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,21.0,Pos
1000000030,-4.7426,1.4038112,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,45.0,Pos
1000000031,-3.162197,-0.2110065,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,41.0,High
1000000032,-3.9004223,-0.1716761,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,42.0,High
1000000033,-0.39914787,-4.061687,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000034,3.1162927,-1.3330042,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,7.0,Neg
1000000035,-3.8699267,0.092895135,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,46.0,High
1000000037,0.56574154,-1.9261322,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,26.0,Neg
1000000038,2.9839926,0.5019855,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,8.0,Neg
1000000039,-0.24630809,-3.4618633,0,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,48.0,Neg
1000000041,-2.8684537,0.11621966,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,Pos
1000000042,-1.6782275,-1.1270642,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,46.0,Pos
1000000043,-2.2196693,0.33876297,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,44.0,Pos
1000000044,-0.96342266,-0.49006245,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,27.0,High
1000000045,-5.246144,3.027127,1,AM001100425CHR2B02293TNNIRNOCONNN0NNN0NNN0WH00,40.0,Pos
