         768411559 function calls (753223223 primitive calls) in 709.362 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9654   44.577    0.005   44.631    0.005 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\fpdf\fpdf.py:1906(_out)
     5002   28.683    0.006   29.783    0.006 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
115918641   21.953    0.000   32.587    0.000 {built-in method builtins.isinstance}
9439776/8609821   17.329    0.000   20.927    0.000 {built-in method numpy.array}
   605741   14.277    0.000   14.277    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
   457486   13.116    0.000   23.425    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:224(_rebuild_blknos_and_blklocs)
  3712858   11.200    0.000   11.200    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   294404    9.931    0.000    9.931    0.000 {built-in method _operator.eq}
1604632/1604631    9.890    0.000   84.918    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:315(__init__)
   253868    9.605    0.000   29.112    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\managers.py:932(fast_xs)
  2066485    8.902    0.000   15.822    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5426(__finalize__)
  1828906    8.273    0.000   42.643    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\array_algos\take.py:111(_take_nd_ndarray)
  5039704    7.504    0.000   20.890    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5480(__setattr__)
39509978/29482219    7.431    0.000   11.329    0.000 {built-in method builtins.len}
  2317893    7.092    0.000    8.933    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:230(__init__)
 22645781    6.949    0.000    9.720    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
   608029    6.584    0.000   11.401    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\indexers.py:249(maybe_convert_indices)
  1707630    6.400    0.000  221.664    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
  3100026    5.882    0.000    5.890    0.000 {built-in method numpy.empty}
36765238/36760356    5.671    0.000    6.613    0.000 {built-in method builtins.getattr}
   396412    5.420    0.000    7.466    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\inspect.py:2879(_bind)
4063608/3897522    4.982    0.000   34.742    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:5464(__getattr__)
    31725    4.920    0.000    4.920    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
  1817942    4.798    0.000   58.249    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1122(take_nd)
  1828906    4.791    0.000    9.041    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\array_algos\take.py:517(_take_preprocess_indexer_and_fill_value)
2930764/2640308    4.249    0.000   19.715    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   507736    4.146    0.000    5.597    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\numpy\core\numerictypes.py:578(_can_coerce_all)
  3120319    3.940    0.000   11.075    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:627(name)
   625040    3.853    0.000  100.904    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\series.py:5491(_cmp_method)
  4246632    3.841    0.000    8.180    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\dtypes\common.py:1578(_is_dtype_type)
   949725    3.767    0.000   15.479    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\construction.py:463(sanitize_array)
   899634    3.723    0.000    4.012    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\matplotlib\transforms.py:207(set_children)
   602546    3.508    0.000    3.508    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
   616256    3.430    0.000    3.430    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      449    3.395    0.008    3.395    0.008 {method 'close' of '_io.BufferedRandom' objects}
   959841    3.282    0.000   18.605    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:1916(new_block)
 15945548    3.265    0.000    3.265    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\internals\blocks.py:349(iget)
8689345/8689339    3.177    0.000    4.991    0.000 {built-in method builtins.hasattr}
   603267    3.171    0.000  111.581    0.000 c:\users\metlab24\anaconda3\envs\tasc\lib\site-packages\pandas\core\generic.py:3518(take)
